Phase,Epoch,Train_Loss,Val_Loss,Val_PSNR,Val_SSIM,Time_Sec,LR
Phase1,1,0.10667888502776622,0.0801739734718576,20.79257612323761,0.4392338339075766,81.07359671592712,0.0001
Phase1,2,0.05730074871331453,0.04454503880006572,25.08632017262777,0.6511594103047809,81.03738355636597,0.0001
Phase1,3,0.040425639234483245,0.040112870052922515,26.002273902257283,0.698648743211652,81.46508812904358,0.0001
Phase1,4,0.037634174209088087,0.03851686941739172,26.337631491978964,0.7158830731695655,79.70791172981262,0.0001
Phase1,5,0.036440020751208065,0.037782584537751976,26.477290846824648,0.7249625690150135,82.97686767578125,0.0001
Phase1,6,0.0358011996820569,0.03713893556594849,26.641892285346984,0.7323683205191462,82.41918444633484,0.0001
Phase1,7,0.03546059765666723,0.0369470203348125,26.75242381890615,0.7353869896170239,81.45828151702881,0.0001
Phase1,8,0.034980244893580675,0.03656557346849392,26.778736270904542,0.7394267108158736,81.05065274238586,0.0001
Phase1,9,0.03472088912129402,0.03662574809649959,26.788406096776328,0.7397434087088094,79.06626844406128,0.0001
Phase1,10,0.034449455052614215,0.036150412348099056,26.91073341814677,0.7430858859929914,78.14046740531921,0.0001
Phase2,1,0.03323576720431447,0.03451427809195593,27.306627986272176,0.7573567930331109,95.15060496330261,9.939057285945933e-06
Phase2,2,0.03272236585244536,0.03408604781422764,27.414061508178712,0.7601127483347792,95.03416228294373,9.757729755661012e-06
Phase2,3,0.03240943253412843,0.03418994462583214,27.41045812543233,0.761642860854349,95.17700815200806,9.460482294732422e-06
Phase2,4,0.03223321624845266,0.033466033892783645,27.578104992548624,0.7660409403022442,96.87294173240662,9.054634122155991e-06
Phase2,5,0.03238366620987654,0.03398643240161861,27.451637415568033,0.7613865690559042,98.7840850353241,8.550178566873412e-06
Phase2,6,0.03186496751382947,0.034013149849604817,27.4593186117808,0.7625053518207914,96.71669960021973,7.959536998847744e-06
Phase2,7,0.03193522489070892,0.03361840105367204,27.603828347524008,0.7668179648515644,97.53567695617676,7.297252973710757e-06
Phase2,8,0.0318233563490212,0.03376662771000216,27.479781785964967,0.7655202622651148,95.175945520401,6.579634122155991e-06
Phase2,9,0.03194099204987288,0.033339236246189105,27.606996077219645,0.767455359655431,97.02400088310242,5.824350601949144e-06
Phase2,10,0.031881826221942904,0.03355008060989591,27.60876564280192,0.7665988110130838,97.96130537986755,5.050000000000001e-06
Phase2,11,0.031776389986276625,0.03320237567275763,27.67180036799113,0.7690022771386373,96.65293741226196,4.275649398050859e-06
Phase2,12,0.03189739355072379,0.03382377781540466,27.492722803115846,0.7626256095940177,96.47056174278259,3.520365877844011e-06
Phase2,13,0.03166466004773975,0.03324912740996418,27.60713294219971,0.7682542372969043,95.07986617088318,2.802747026289244e-06
Phase2,14,0.03172171754017472,0.03333334129753833,27.592011238098145,0.7677933657559767,95.6809892654419,2.140463001152259e-06
Phase2,15,0.031769027169793844,0.03328288204362616,27.615980726242064,0.7685818616446551,95.95015382766724,1.5498214331265905e-06
Phase2,16,0.03140632688254118,0.03351544769837832,27.551895612716674,0.7668763124593626,97.60362076759338,1.0453658778440111e-06
Phase2,17,0.03165424556657672,0.03322250435260746,27.619361927668255,0.7690998401029859,94.59968686103821,6.395177052675798e-07
Phase2,18,0.03172646088898182,0.033620565542951224,27.52084378560384,0.7652955627919635,95.42063498497009,3.4227024433899015e-07
Phase2,19,0.031667234376072884,0.03348816896408486,27.553203845342,0.7677198839619817,97.6348397731781,1.609427140540686e-07
Phase2,20,0.0317092564702034,0.03327228880099331,27.605562567392987,0.7679584804377446,98.98155236244202,1e-07
